Table 210-06103 : Unemployment rate and underemployment rate by age and sex,,,,,,,,
 ,,,,,,,,
Sex,,,Male,Male,Female,Female,Both sexes,Both sexes
 , , ,Unemployment rate (1),Underemployment rate (2),Unemployment rate (1),Underemployment rate (2),Unemployment rate (1),Underemployment rate (2)
,,,(%),(%),(%),(%),(%),(%)
Year / Moving 3-month period,,Age group,,,,,,
2010,,30 - 39,3.6,2.0,2.6,0.7,3.1,1.3
2010,,40 - 49,4.0,2.7,2.9,1.6,3.5,2.2
2010,,50 - 59,4.9,3.4,3.1,2.4,4.2,3.0
2010,,60 and over,3.2,2.2,1.4,2.8,2.8,2.4
2010,,15 and over,5.1,2.6,3.5,1.4,4.3,2.0
2011,,15 - 19,17.9,3.7,13.6,3.9,15.8,3.8
2011,,20 - 29,6.7,1.9,4.1,0.7,5.3,1.3
2011,,30 - 39,3.1,1.8,2.0,0.5,2.5,1.1
2011,,40 - 49,3.0,2.3,2.5,1.2,2.7,1.8
2011,,50 - 59,3.9,2.8,2.2,2.1,3.3,2.5
2011,,60 and over,2.0,2.4,2.0,1.9,2.0,2.3
2011,,15 and over,4.0,2.3,2.8,1.1,3.4,1.7
2012,,15 - 19,15.5,3.8,11.9,3.6,13.8,3.7
2012,,20 - 29,6.6,1.8,4.2,0.8,5.3,1.3
2012,,30 - 39,2.9,1.6,1.9,0.4,2.4,1.0
2012,,40 - 49,3.0,2.0,2.5,0.9,2.8,1.5
2012,,50 - 59,3.4,2.9,2.3,1.3,2.9,2.2
2012,,60 and over,2.2,1.9,1.4,1.7,2.0,1.8
2012,,15 and over,3.8,2.1,2.8,0.9,3.3,1.5
2013,,15 - 19,17.6,3.0,11.3,2.6,14.5,2.8
2013,,20 - 29,6.8,1.9,4.5,0.9,5.6,1.4
2013,,30 - 39,2.5,1.4,2.1,0.3,2.3,0.8
2013,,40 - 49,3.1,2.0,2.6,0.9,2.9,1.5
2013,,50 - 59,3.4,2.9,2.6,1.1,3.1,2.1
2013,,60 and over,2.3,2.6,2.1,1.4,2.3,2.3
2013,,15 and over,3.8,2.2,3.0,0.8,3.4,1.5
2014,,15 - 19,13.3,4.5,11.8,2.4,12.5,3.4
2014,,20 - 29,6.4,1.7,4.5,0.9,5.4,1.3
2014,,30 - 39,2.4,1.4,2.0,0.4,2.2,0.9
2014,,40 - 49,2.8,1.9,2.7,0.7,2.7,1.3
2014,,50 - 59,3.1,2.9,2.8,1.3,3.0,2.3
2014,,60 and over,3.1,2.0,2.3,1.2,2.8,1.8
2014,,15 and over,3.6,2.1,3.0,0.8,3.3,1.5
2015,,15 - 19,15.6,3.1,13.0,2.6,14.3,2.8
2015,,20 - 29,6.5,1.7,5.3,0.8,5.9,1.2
2015,,30 - 39,2.2,1.4,2.0,0.3,2.1,0.8
2015,,40 - 49,2.8,1.9,2.8,0.6,2.8,1.2
2015,,50 - 59,2.8,2.7,2.9,1.1,2.8,2.0
2015,,60 and over,2.8,1.9,1.9,0.9,2.5,1.6
